CHROM	POS	SVTYPE	END	Similarity	AlleleID	HGNC_ID	ClinicalSignificance	PhenotypeList
1	14978958	Insertion	14979373	0.0	676545	-	Uncertain significance	-
1	15284854	Duplication	15284894	9.3	982155	HGNC:7883	Benign	none provided
1	15284857	Duplication	15284897	66.67	982155	HGNC:7883	Benign	none provided
1	17124910	Duplication	17124940	50.0	1063857	HGNC:27310	Pathogenic	Multiple fibrofolliculomas
1	17231894	Insertion	17231919	13.33	1238363	HGNC:15516	Benign	-
1	91312663	Duplication	91312683	9.09	547680	HGNC:1058	Uncertain significance	Bloom syndrome
1	21728322	Deletion	21728342	0.0	381501	HGNC:20262	Benign	-
1	21806313	Insertion	21806335	0.0	248427	-	Uncertain significance	-
1	2775802	Deletion	2775880	0.0	950473	HGNC:29090	Uncertain significance	Facioscapulohumeral muscular dystrophy 2
1	89505866	Insertion	89505891	7.14	1273730	HGNC:8604	Benign	-
1	91304023	Duplication	91304066	4.35	812313	HGNC:1058	Pathogenic	Hereditary cancer-predisposing syndrome
2	18570295	Deletion	18570375	0.0	157481	-	Pathogenic	-
2	241726187	Insertion	241726221	5.56	1230865	HGNC:888	Benign	-
2	238254118	Deletion	238254139	100.0	1235652	HGNC:2213	Benign	-
2	227967601	Deletion	227967624	100.0	1226931	HGNC:2206	Benign	-
2	220341937	Insertion	220341957	92.68	1237606	HGNC:16901	Benign	-
2	198359315	Deletion	198359339	100.0	1250337	HGNC:5261	Benign	-
2	189861740	Microsatellite	189861770	100.0	1216905	HGNC:2201	Benign	-
2	179315138	Deletion	179315692	3.39	918701	HGNC:9438	Benign	Dystonia 16
2	179301048	Deletion	179307992	3.03	1037095	HGNC:9438	Likely pathogenic	Dystonia 16
2	179296982	Deletion	179306161	14.29	227228	HGNC:9438	Uncertain significance	Dystonia 16
2	179296981	Deletion	179300871	14.29	227228	HGNC:9438	Uncertain significance	Dystonia 16
2	170038235	Deletion	170038260	100.0	1238856	HGNC:6694	Benign	-
2	191745598	Microsatellite	191745622	0.1	614667	HGNC:4331	Pathogenic	Global developmental delay, progressive ataxia, and elevated glutamine
2	62076176	Duplication	62076230	0.0	495749	HGNC:6296	Pathogenic	-
2	84821407	Insertion	84821443	10.26	1267621	HGNC:2951	Benign	-
2	1642803	Deletion	1642855	100.0	1249786	HGNC:14966	Benign	-
2	15618164	Insertion	15618194	100.0	1241214	HGNC:15625	Benign	-
2	17959588	Microsatellite	17959618	0.0	1268058	HGNC:26881	Benign	-
2	41924590	Insertion	41924612	8.33	798114	-	Uncertain significance	-
2	39315326	Insertion	39315631	2.56	335406	HGNC:6408	Uncertain significance	Multicentric carpo-tarsal osteolysis with or without nephropathy
2	41924617	Deletion	41924639	0.0	798114	-	Uncertain significance	-
2	46745897	Deletion	46745923	0.0	1267476	HGNC:25481	Benign	-
2	55881954	Deletion	55881980	100.0	1211770	HGNC:23166	Benign	-
2	61880173	Deletion	61881106	0.0	223100	-	Uncertain significance	Ductal breast carcinoma
2	62076021	Microsatellite	62076123	0.0	1058086	HGNC:6296	Pathogenic	Early infantile epileptic encephalopathy with suppression bursts
3	107982683	Deletion	107982706	0.0	673403	-	Uncertain significance	-
3	128891451	Microsatellite	128891471	0.0	32603	HGNC:13164	Pathogenic	Myotonic dystrophy type 2
3	123022685	Microsatellite	123022705	0.0	1266107	HGNC:236	Benign	-
3	129763380	Deletion	129806745	0.0	200756	HGNC:37258	Uncertain significance	Autistic disorder of childhood onset
3	100945069	Microsatellite	100945107	100.0	291494	HGNC:18362	Uncertain significance	Retinitis Pigmentosa, Recessive
3	4739020	Microsatellite	4739044	7.69	1287162	HGNC:6180	Benign	-
3	38627153	Microsatellite	38627181	73.91	1274582	HGNC:10593	Benign	-
3	38534222	Deletion	38534256	33.33	290229	HGNC:174	Uncertain significance	Heterotaxia
3	25824971	Microsatellite	25825015	100.0	1219256	HGNC:17646	Benign	-
3	52597072	Deletion	52597094	100.0	1258034	HGNC:30064	Benign	-
4	5750276	Microsatellite	5750344	100.0	1253837	HGNC:3497	Benign	-
4	1087327	Insertion	1087348	8.7	1234191	HGNC:27729	Likely pathogenic	Non-obstructive azoospermia
4	3491837	Insertion	3491861	91.3	660292	HGNC:26594	Benign	-
4	38772308	Insertion	38772338	77.78	1037483	HGNC:15634	Uncertain significance	-
4	38794474	Microsatellite	38794502	93.55	1037485	HGNC:11847	Uncertain significance	-
4	38772308	Insertion	38772330	100.0	1037483	HGNC:15634	Uncertain significance	-
4	140306435	Deletion	140306463	100.0	1220757	HGNC:30782	Benign	-
4	108865995	Insertion	108866031	42.55	1253470	HGNC:20582	Benign	-
4	88537285	Deletion	88537420	0.0	793060	HGNC:3054	Benign	none provided
4	88537043	Deletion	88537178	0.0	615790	HGNC:3054	Likely pathogenic	Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1
4	155505241	Duplication	155505269	100.0	251346	HGNC:3661	Benign	-
4	86491517	Microsatellite	86491545	100.0	1260706	HGNC:25361	Benign	-
4	71347138	Deletion	71347207	100.0	698615	HGNC:7518	Benign	-
4	57797217	Deletion	57797265	100.0	698580	HGNC:9966	Benign	-
4	57368634	Microsatellite	57368662	100.0	298845	HGNC:11303	Benign	Bone marrow failure syndrome 1
4	88536881	Deletion	88536917	0.0	1262970	HGNC:3054	Benign	-
5	96232568	Duplication	96232668	100.0	777494	HGNC:29499	Benign	-
5	180041274	Insertion	180041444	6.78	1249841	HGNC:3767	Benign	-
5	180041274	Insertion	180041308	14.63	1249841	HGNC:3767	Benign	-
5	177685263	Insertion	177685303	0.0	383852	-	Uncertain significance	-
5	177685263	Insertion	177685283	0.0	383852	-	Uncertain significance	-
5	176026119	Deletion	176026143	100.0	1217092	HGNC:24835	Benign	-
5	167945076	Insertion	167945117	96.39	744216	HGNC:9870	Benign	-
5	147503075	Deletion	147503103	100.0	1277723	HGNC:15464	Benign	-
5	126770604	Deletion	126770627	100.0	1171322	HGNC:29634	Benign	-
5	78280723	Insertion	78280831	0.0	1057172	HGNC:714	Pathogenic	Mucopolysaccharidosis type 6
5	13894938	Duplication	13895487	0.0	48248	HGNC:2950	Pathogenic	Ciliary dyskinesia, primary, 3;Primary ciliary dyskinesia
5	37245399	Microsatellite	37245419	100.0	1288057	HGNC:25801	Benign	-
5	34008206	Deletion	34008226	100.0	1222233	HGNC:451	Benign	-
5	180046426	Insertion	180046448	100.0	1220862	HGNC:3767	Benign	-
5	1414523	Insertion	1416043	0.13	1252341	HGNC:11049	Benign	-
5	1414517	Insertion	1414656	1.42	1252341	HGNC:11049	Benign	-
5	1414517	Insertion	1414584	2.9	1252341	HGNC:11049	Benign	-
5	1076526	Insertion	1076555	57.78	1241862	HGNC:10915	Benign	-
5	1065298	Deletion	1065320	100.0	1276106	HGNC:10915	Benign	-
5	52390026	Insertion	52390051	100.0	304507	HGNC:6137	Uncertain significance	Platelet-type bleeding disorder 9
5	11347039	Deletion	11347062	100.0	1267761	HGNC:2516	Benign	-
6	158564363	Deletion	158564387	100.0	1276405	HGNC:21061	Benign	-
6	152685861	Insertion	152685881	60.0	1259108	HGNC:17089	Benign	-
6	82461727	Microsatellite	82461757	100.0	1239533	HGNC:18345	Benign	-
6	74171257	Microsatellite	74171289	100.0	1268505	HGNC:19261	Benign	-
6	116951830	Duplication	116952013	66.67	1279160	HGNC:21558	Benign	-
6	123851471	Microsatellite	123851498	100.0	661247	HGNC:12261	Benign	-
6	35791147	Microsatellite	35791167	50.0	307282	HGNC:21253	Uncertain significance	Nonsyndromic Hearing Loss, Recessive
6	32450724	Insertion	32454366	0.0	156938	-	Benign	-
6	52358163	Microsatellite	52358185	16.0	1171600	HGNC:16406	Benign	-
6	18155353	Deletion	18155387	0.0	306954	HGNC:12014	Uncertain significance	Thiopurine methyltransferase deficiency
7	157414064	Insertion	157414129	100.0	710898	HGNC:9677	Benign	-
7	154002103	Microsatellite	154002145	100.0	1278798	HGNC:3010	Benign	-
7	154002103	Microsatellite	154002133	25.0	1278798	HGNC:3010	Benign	-
7	150783901	Deletion	150783922	100.0	269803	HGNC:16923	Uncertain significance	-
7	150783900	Insertion	150783924	7.69	269803	HGNC:16923	Uncertain significance	-
7	135255619	Duplication	135255648	100.0	1235101	HGNC:18658	Benign	-
7	128587351	Deletion	128587381	100.0	699841	HGNC:6120	Benign	-
7	117252079	Insertion	117252103	7.69	917450	HGNC:1884	Uncertain significance	-
7	98550654	Microsatellite	98550686	100.0	1256359	HGNC:12347	Benign	-
7	94051084	Deletion	94051122	100.0	1242982	HGNC:2198	Benign	-
7	121943582	Microsatellite	121943610	20.0	1212254	HGNC:22788	Benign	-
7	81689517	Insertion	81689629	3.42	1270423	HGNC:1399	Benign	-
7	81689484	Insertion	81689506	14.81	1270423	HGNC:1399	Benign	-
7	81591114	Microsatellite	81591143	100.0	662986	HGNC:1399	Benign	-
7	47920136	Deletion	47920163	100.0	1276967	HGNC:18053	Benign	-
7	45650359	Insertion	45651091	1.36	1233043	HGNC:232	Benign	-
7	33195317	Insertion	33195669	28.23	1155696	HGNC:30000	Benign	Bardet-Biedl syndrome
7	16129085	Insertion	16129137	3.7	310587	HGNC:37276	Uncertain significance	Congenital Muscular Dystrophy, alpha-dystroglycan related
7	5570100	Deletion	5570122	100.0	1250349	HGNC:132	Benign	-
7	2586653	Insertion	2586701	100.0	1270093	HGNC:21701	Benign	-
7	2583656	Deletion	2583684	100.0	1257571	HGNC:21701	Benign	-
7	286502	Insertion	286536	100.0	1235142	HGNC:22140	Benign	-
7	81689517	Insertion	81689580	5.88	1270423	HGNC:1399	Benign	-
8	145739100	Duplication	145739448	3.77	458175	HGNC:9949	Uncertain significance	Baller-Gerold syndrome
8	145151665	Deletion	145151692	100.0	1245372	HGNC:2579	Benign	Mitochondrial complex III deficiency, nuclear type 6
8	144295498	Deletion	144295526	100.0	1248388	HGNC:24945	Benign	-
8	144295463	Deletion	144295520	100.0	1231285	HGNC:24945	Benign	-
8	74888284	Microsatellite	74888317	5.71	1239172	HGNC:26050	Benign	-
8	74888284	Microsatellite	74888306	8.33	1239172	HGNC:26050	Benign	-
8	21988467	Microsatellite	21988491	100.0	304863	HGNC:5172	Uncertain significance	Atrichia with papular lesions;Alopecia universalis
8	17924613	Duplication	17924634	0.0	1212547	HGNC:735	Benign	-
8	17924612	Duplication	17924642	100.0	1212547	HGNC:735	Benign	-
8	10467637	Duplication	10467685	43.08	1262512	HGNC:15946	Benign	-
8	141445349	Microsatellite	141445370	100.0	1155857	HGNC:30832	Benign	-
9	140847103	Microsatellite	140847143	100.0	1264338	HGNC:1389	Benign	-
9	140773610	Deletion	140777194	3.39	1037920	HGNC:1389	Likely pathogenic	-
9	140693540	Insertion	140693579	100.0	1282715	HGNC:24650	Benign	-
9	140050831	Deletion	140050870	100.0	664487	HGNC:4584	Benign	-
9	140039980	Deletion	140040039	100.0	663699	HGNC:4584	Benign	-
9	138660966	Deletion	138661006	100.0	664332	HGNC:18865	Benign	-
9	138657195	Microsatellite	138657215	100.0	664106	HGNC:18865	Benign	-
9	137690415	Deletion	137690499	100.0	1243503	HGNC:2209	Benign	-
9	136637177	Insertion	136637208	100.0	777727	HGNC:12658	Benign	-
9	136223221	Microsatellite	136223242	22.22	1220407	HGNC:11474	Benign	-
9	137688780	Deletion	137688800	100.0	1236275	HGNC:2209	Benign	-
9	8331574	Insertion	8331595	91.67	229711	HGNC:9668	Benign	-
9	32986032	Deletion	32986053	0.0	777740	HGNC:15984	Benign	-
9	3932133	Microsatellite	3932157	100.0	1276955	HGNC:28510	Benign	-
9	75315641	Microsatellite	75315681	50.0	1283806	HGNC:16513	Benign	-
9	117849806	Microsatellite	117849830	100.0	1277784	HGNC:5318	Benign	-
9	36216324	Microsatellite	36216350	73.91	318628	HGNC:23657	Uncertain significance	GNE myopathy;Inclusion Body Myopathy, Recessive;Sialuria
9	134391120	Deletion	134391175	100.0	663298	HGNC:9202	Benign	-
10	123246732	Deletion	123246754	100.0	1284083	HGNC:3689	Benign	-
10	108460200	Deletion	108460226	0.0	154737	HGNC:16697	Benign	-
10	105797989	Microsatellite	105798009	100.0	1284548	HGNC:2194	Benign	-
10	102777590	Microsatellite	102777612	100.0	1274107	HGNC:26257	Benign	-
10	104590836	Deletion	104590871	100.0	1223111	HGNC:2593	Benign	-
10	49633873	Insertion	49633893	25.0	1266572	HGNC:6881	Benign	-
10	26436160	Microsatellite	26436181	100.0	1210822	HGNC:7601	Benign	-
10	26315041	Duplication	26315063	100.0	1233547	HGNC:7601	Benign	-
10	3208567	Insertion	3208592	100.0	790957	HGNC:17663	Uncertain significance	Irido-corneo-trabecular dysgenesis
10	310216	Insertion	310452	0.0	164219	HGNC:29063	Uncertain significance	-
10	78785000	Microsatellite	78785022	8.33	1269349	HGNC:6284	Benign	-
10	94381353	Microsatellite	94381373	95.45	1278106	HGNC:6388	Benign	-
11	207359	Duplication	207380	100.0	1219264	HGNC:19348	Benign	-
11	2591559	Duplication	2591595	100.0	665838	HGNC:6294	Benign	-
11	17569965	Deletion	17569985	100.0	1165028	HGNC:8516	Benign	-
11	17581456	Insertion	17581477	100.0	1267822	HGNC:8516	Benign	-
11	17634893	Microsatellite	17634921	0.0	1286663	HGNC:8516	Benign	-
11	22214877	Insertion	22214901	100.0	319863	HGNC:27337	Benign	Miyoshi myopathy;Limb-Girdle Muscular Dystrophy, Recessive;Gnathodiaphyseal dysplasia
11	64367081	Deletion	64367116	0.0	1223160	HGNC:17989	Benign	-
11	32451997	Insertion	32452017	16.67	1259637	HGNC:12796	Benign	-
11	113230773	Microsatellite	113230793	89.36	1242342	HGNC:23700	Benign	-
11	88024737	Microsatellite	88024771	71.43	1038107	HGNC:2528	Uncertain significance	-
11	31815968	Microsatellite	31815988	100.0	1272869	HGNC:8620	Benign	-
11	71936225	Deletion	71936253	100.0	1236347	HGNC:6080	Benign	-
11	65308174	Duplication	65308228	51.35	1244607	HGNC:6716	Benign	-
11	76895770	Deletion	76895792	100.0	52377	HGNC:7606	Benign	Nonsyndromic hearing loss and deafness;Deafness, autosomal recessive 2
12	133306920	Deletion	133306983	0.0	1263996	HGNC:29101	Benign	-
12	133295206	Insertion	133295594	1.02	1229256	HGNC:28763	Benign	-
12	133197449	Deletion	133197510	100.0	1275523	HGNC:15459	Benign	-
12	133195662	Microsatellite	133195694	100.0	1227553	HGNC:15459	Benign	-
12	124155337	Duplication	124155362	100.0	1240687	HGNC:25774	Benign	-
12	53207583	Insertion	53207625	100.0	702383	HGNC:6441	Benign	-
12	53183951	Duplication	53183972	100.0	702380	HGNC:6440	Benign	-
12	52096440	Deletion	52096481	100.0	667107	HGNC:10596	Benign	-
12	50898784	Microsatellite	50898814	0.0	16009	HGNC:29284	Pathogenic	Mental retardation, fra12a type
12	50480262	Microsatellite	50480283	62.5	1235491	HGNC:11106	Benign	-
12	41318683	Microsatellite	41318705	95.45	1245220	HGNC:2171	Benign	-
12	53069222	Deletion	53069243	100.0	77536	HGNC:6412	Benign	-
12	40692580	Microsatellite	40692604	55.56	1262027	HGNC:18618	Benign	-
12	25378220	Deletion	25378246	100.0	1257024	HGNC:6407	Benign	-
12	22016216	Deletion	22016262	100.0	666443	HGNC:60	Benign	-
12	1006052	Microsatellite	1006078	100.0	1285596	HGNC:14540	Benign	-
12	21031069	Deletion	21031092	100.0	1172392	HGNC:10961	Benign	-
12	20968645	Deletion	20968669	50.0	981776	HGNC:10961	Benign	Rotor syndrome
12	7362204	Insertion	7362236	100.0	791275	HGNC:9719	Benign	Peroxisome biogenesis disorder 1A (Zellweger)
12	7355820	Insertion	7356129	0.63	1246837	HGNC:9719	Benign	-
12	7355777	Deletion	7355825	100.0	1287165	HGNC:9719	Benign	-
12	7343108	Duplication	7343153	66.67	582852	HGNC:9719	Uncertain significance	-
12	6452811	Insertion	6452846	100.0	1038170	HGNC:11916	Uncertain significance	-
12	40692662	Microsatellite	40692689	100.0	1247290	HGNC:18618	Benign	-
13	113771917	Insertion	113771954	5.13	615744	HGNC:3544	Uncertain significance	Factor VII deficiency
13	111145398	Microsatellite	111145428	100.0	1248738	HGNC:2203	Benign	-
13	70713512	Microsatellite	70713533	0.0	15231	-	Benign	Spinocerebellar ataxia type 8
13	20939356	Deletion	20939376	0.0	247435	HGNC:4284	Pathogenic	Deafness, autosomal recessive 1A
13	32960704	Deletion	32960735	100.0	259513	HGNC:1101	Benign	Breast-ovarian cancer, familial 2
13	25463709	Deletion	25463729	100.0	1282808	HGNC:17272	Benign	-
13	25456347	Microsatellite	25456395	50.0	1237950	HGNC:17272	Benign	-
13	38326212	Translocation	38326250	0.0	514821	HGNC:12336	Uncertain significance	-
14	105242404	Duplication	105242441	100.0	1276697	HGNC:391	Benign	-
14	102513978	Microsatellite	102514000	23.08	1238673	HGNC:2961	Benign	-
14	92537354	Microsatellite	92537381	85.71	1200033	HGNC:7106	Benign	-
14	102964359	Duplication	102964383	100.0	667346	HGNC:19957	Benign	-
14	92537353	Microsatellite	92537374	93.02	1200033	HGNC:7106	Benign	-
14	92537353	Microsatellite	92537392	68.85	1200033	HGNC:7106	Benign	-
14	24718379	Microsatellite	24718401	100.0	1214795	HGNC:11777	Benign	-
14	102511064	Deletion	102511092	100.0	1212109	HGNC:2961	Benign	-
14	74711602	Microsatellite	74711642	4.76	1270059	HGNC:1975	Benign	-
14	67632165	Microsatellite	67632187	100.0	1228662	HGNC:15465	Benign	-
15	101791684	Microsatellite	101791711	80.85	1272519	HGNC:17198	Benign	-
15	100693174	Insertion	100693204	12.12	1255972	HGNC:17109	Benign	-
15	100693159	Insertion	100693198	6.35	1255972	HGNC:17109	Benign	-
15	100693158	Insertion	100693203	8.33	1255972	HGNC:17109	Benign	-
15	90172419	Deletion	90172441	100.0	1276996	HGNC:30497	Benign	-
15	72142031	Deletion	72142055	100.0	1268372	HGNC:7608	Benign	-
15	100649465	Insertion	100649487	100.0	1247581	HGNC:17109	Benign	-
15	65322165	Microsatellite	65322185	70.59	1271417	HGNC:29666	Benign	-
15	59497708	Duplication	59497728	100.0	1237071	HGNC:7599	Benign	-
15	58852849	Deletion	58852869	100.0	1270936	HGNC:6619	Benign	-
15	53807252	Microsatellite	53807334	6.98	322898	HGNC:26790	Uncertain significance	Amelogenesis Imperfecta, Recessive
15	40309702	Deletion	40309722	0.0	1278380	HGNC:19687	Benign	-
15	34150120	Microsatellite	34150140	100.0	1157429	HGNC:10485	Benign	Epileptic encephalopathy
15	23685922	Insertion	23685943	100.0	1038314	HGNC:26695	Uncertain significance	-
15	68522105	Duplication	68522125	100.0	1038347	HGNC:2077	Uncertain significance	-
16	46732095	Microsatellite	46732115	76.47	343036	HGNC:17151	Uncertain significance	Meier-Gorlin syndrome
16	88798330	Insertion	88798365	46.1	982051	-	Benign	none provided
16	88798325	Insertion	88800368	8.24	982051	-	Benign	none provided
16	88779323	Insertion	88779401	2.5	778341	HGNC:28005	Benign	-
16	88506287	Microsatellite	88506314	100.0	342833	HGNC:23216	Benign	Brittle cornea syndrome 1
16	81941530	Deletion	81941553	100.0	1225887	HGNC:9066	Benign	-
16	29725602	Deletion	29725623	0.0	154997	-	Benign	-
16	23388895	Insertion	23388941	4.17	1251072	HGNC:10600	Benign	-
16	23388895	Insertion	23388918	8.0	1251072	HGNC:10600	Benign	-
16	28507397	Microsatellite	28507424	100.0	703605	HGNC:24087	Benign	-
16	188303	Microsatellite	188335	100.0	1279708	HGNC:14124	Benign	-
16	629427	Deletion	629547	100.0	1275553	HGNC:14135	Benign	-
16	1500329	Duplication	1500360	100.0	1229937	HGNC:2025	Benign	-
16	1500688	Duplication	1500926	0.0	1175408	HGNC:2025	Benign	Hypopigmentation, organomegaly, and delayed myelination and development;Autosomal recessive osteopetrosis 4;Autosomal dominant osteopetrosis 2
16	1203321	Microsatellite	1203355	100.0	1268538	HGNC:1395	Benign	-
17	41223538	Insertion	41223562	100.0	259558	HGNC:1100	Benign	Breast-ovarian cancer, familial 1
17	1386095	Insertion	1386173	11.9	1241814	HGNC:7597	Benign	-
17	4802255	Deletion	4802275	100.0	668891	HGNC:1966	Benign	-
17	6358974	Microsatellite	6359335	1.9	1158083	HGNC:21043	Benign	-
17	29662308	Microsatellite	29662336	12.5	1278986	HGNC:7765	Benign	-
17	29662315	Microsatellite	29662390	4.88	1278986	HGNC:7765	Benign	-
17	29662318	Microsatellite	29662363	100.0	1258183	HGNC:7765	Benign	-
17	39190973	Duplication	39191003	100.0	704130	HGNC:16771	Benign	-
17	40270029	Deletion	40270068	100.0	778488	HGNC:4201	Benign	-
17	40489892	Deletion	40490192	100.0	1157973	HGNC:11364	Benign	Hyper-IgE recurrent infection syndrome 1, autosomal dominant;STAT3 gain of function
17	4837171	Deletion	4837210	0.0	976789	HGNC:4439	Uncertain significance	Abnormal bleeding;Thrombocytopenia
17	44223907	Deletion	44224221	0.0	170820	-	Benign	-
17	48277059	Microsatellite	48277080	100.0	1249223	HGNC:2197	Benign	-
17	57168896	Microsatellite	57168935	100.0	1239101	HGNC:7523	Benign	-
17	71188967	Deletion	71189069	100.0	1276611	HGNC:6545	Benign	-
17	71188989	Deletion	71189023	0.0	1276611	HGNC:6545	Benign	-
17	71188989	Deletion	71189037	0.0	1276611	HGNC:6545	Benign	-
17	73833087	Microsatellite	73833113	100.0	1220785	HGNC:23147	Benign	-
17	76429996	Deletion	76430032	100.0	1233650	HGNC:2946	Benign	-
17	76554529	Microsatellite	76554551	100.0	1259888	HGNC:2946	Benign	-
17	78055186	Microsatellite	78055206	91.3	1251281	HGNC:26090	Benign	-
17	78064015	Insertion	78064047	5.88	1262212	HGNC:26090	Benign	-
17	78064216	Microsatellite	78064248	100.0	1247986	HGNC:26090	Benign	-
17	78971150	Insertion	78971185	5.41	778559	HGNC:25675	Benign	-
17	45367814	Microsatellite	45367834	100.0	1255383	HGNC:6156	Benign	-
18	77488698	Duplication	77488741	100.0	791884	HGNC:2498	Benign	Congenital cataracts-facial dysmorphism-neuropathy syndrome
18	55398540	Microsatellite	55398578	100.0	1258263	HGNC:3706	Benign	-
18	10731173	Deletion	10731200	100.0	1283693	HGNC:26270	Benign	-
18	10795314	Deletion	10795350	100.0	1271557	HGNC:26270	Benign	-
